cross(db(iout) 0) X,cross(db(iout) 0) Y
3.846624e-09,112563471.437598
4.814964e-09,201326356.4712706
6.027071e-09,282142743.113887
7.544312e-09,366013434.2699289
9.443498000000001e-09,457898965.8274731
1.182078e-08,560965784.6653445
1.479652e-08,677153308.3995758
1.852136e-08,807501732.7561105
2.318388e-08,962040023.4831088
2.902013e-08,1141329499.033827
3.632559e-08,1343389635.747757
4.54701e-08,1571458380.997854
5.691664e-08,1851845777.361338
7.124469e-08,2168377383.319973
8.917966000000001e-08,2521432692.61746
1.116295e-07,2963455671.002137
1.397309e-07,3468063631.277727
1.749064e-07,4035718097.100339
2.189369e-07,4739146639.63126
2.740516e-07,5555452904.365838
3.430406e-07,6475575506.486323
4.293968e-07,7588519303.528156
5.374922e-07,8887818676.779209
6.727991e-07,10328124117.56614
8.42168e-07,12026489831.15698
1.054173e-06,13967658502.95252
1.319548e-06,16023915314.65091
1.651728e-06,18474744301.49309
2.06753e-06,21036172894.30075
2.588005e-06,23826193177.36201
3.239504e-06,26793335326.24574
4.055008e-06,29870082036.0841
5.075806e-06,32994445771.26551
6.353578e-06,36269722658.89529
7.953011999999999e-06,39226912523.81277
9.955084e-06,42393559324.29088
1.246115e-05,45267357921.01995
1.559809e-05,47637740358.2626
1.952472e-05,49395026098.30216
2.443982e-05,50384455026.21976
3.059225e-05,49998378406.98655
3.829347e-05,48885981250.92757
4.793337e-05,48885981250.92757
6e-05,48885981250.92757
